Player Name,Team/Club,League,Position,Jersey Number,Age,Height,Weight,Nationality,Matches Played,Minutes Played,Goals,Assists,Shots,Shots on Target,Pass Completion %,Yellow Cards,Red Cards,Clean Sheets,Saves,Profile URL,Date Scraped
Name,Lazio,Serie A,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:10
Ivan Provedel,Napoli,Serie A,Ivan Provedel94,31.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/181836/ivan-provedel,2025-09-28 21:27:10
Name,Atalanta,Serie A,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:11
Massimo Paganin,Lazio,Serie A,Massimo Paganin,55.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/11790/massimo-paganin,2025-09-28 21:27:10
Lukasz Skorupski,Atalanta,Serie A,G,34.0,,,,,1.0,,1.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/179358/lukasz-skorupski,2025-09-28 21:27:11
Federico Ravaglia,Atalanta,Serie A,Federico Ravaglia13,25.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/245626/federico-ravaglia,2025-09-28 21:27:11
Massimo Pessina,Atalanta,Serie A,Massimo Pessina25,17.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/388880/massimo-pessina,2025-09-28 21:27:11
Name,Bayern Munich,Bundesliga,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:11
Ukko Happonen,Atalanta,Serie A,G,18.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/410822/ukko-happonen,2025-09-28 21:27:11
Manuel Neuer,Bayern Munich,Bundesliga,Manuel Neuer1,39.0,,,,,1.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/84774/manuel-neuer,2025-09-28 21:27:11
Sven Ulreich,Bayern Munich,Bundesliga,G,37.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/113733/sven-ulreich,2025-09-28 21:27:11
Jannis Bärtl,Bayern Munich,Bundesliga,G,19.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/409827/jannis-bartl,2025-09-28 21:27:11
Jonas Urbig,Bayern Munich,Bundesliga,Jonas Urbig40,22.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/323790/jonas-urbig,2025-09-28 21:27:11
Name,Fiorentina,Serie A,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:11
Leon Klanac,Bayern Munich,Bundesliga,G,18.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/388141/leon-klanac,2025-09-28 21:27:11
Zion Suzuki,Fiorentina,Serie A,G,23.0,,,,,0.0,,1.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/265958/zion-suzuki,2025-09-28 21:27:11
Edoardo Corvi,Fiorentina,Serie A,Edoardo Corvi40,24.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/290792/edoardo-corvi,2025-09-28 21:27:11
Gianluca Astaldi,Fiorentina,Serie A,Gianluca Astaldi64,19.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/408947/gianluca-astaldi,2025-09-28 21:27:11
Name,Borussia Dortmund,Bundesliga,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:12
Filippo Rinaldi,Fiorentina,Serie A,Filippo Rinaldi66,22.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/297785/filippo-rinaldi,2025-09-28 21:27:11
Gregor Kobel,Borussia Dortmund,Bundesliga,Gregor Kobel1,27.0,,,,,1.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/238544/gregor-kobel,2025-09-28 21:27:12
Patrick Drewes,Borussia Dortmund,Bundesliga,Patrick Drewes30,32.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/174521/patrick-drewes,2025-09-28 21:27:12
Silas Ostrzinski,Borussia Dortmund,Bundesliga,G,21.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/331297/silas-ostrzinski,2025-09-28 21:27:12
Name,RB Leipzig,Bundesliga,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:12
Alexander Meyer,Borussia Dortmund,Bundesliga,Alexander Meyer33,34.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/178380/alexander-meyer,2025-09-28 21:27:12
Michael Zetterer,RB Leipzig,Bundesliga,Michael Zetterer23,30.0,,,,,1.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/184550/michael-zetterer,2025-09-28 21:27:12
Jens Grahl,RB Leipzig,Bundesliga,Jens Grahl33,37.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/122396/jens-grahl,2025-09-28 21:27:12
Name,Bayer Leverkusen,Bundesliga,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:13
Kauã Santos,RB Leipzig,Bundesliga,G,22.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/338950/kaua-santos,2025-09-28 21:27:12
Mark Flekken,Bayer Leverkusen,Bundesliga,Mark Flekken1,32.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/177821/mark-flekken,2025-09-28 21:27:13
Janis Blaswich,Bayer Leverkusen,Bundesliga,G,34.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/161825/janis-blaswich,2025-09-28 21:27:13
Name,Eintracht Frankfurt,Bundesliga,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:13
Niklas Lomb,Bayer Leverkusen,Bundesliga,Niklas Lomb36,32.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/175069/niklas-lomb,2025-09-28 21:27:13
Noah Atubolu,Eintracht Frankfurt,Bundesliga,G,23.0,,,,,1.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/321064/noah-atubolu,2025-09-28 21:27:13
Florian Müller,Eintracht Frankfurt,Bundesliga,Florian Müller21,27.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/122292/florian-muller,2025-09-28 21:27:13
Name,Borussia Monchengladbach,Bundesliga,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:27:14
Jannik Huth,Eintracht Frankfurt,Bundesliga,G,31.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/224246/jannik-huth,2025-09-28 21:27:13
Marvin Schwäbe,Borussia Monchengladbach,Bundesliga,Marvin Schwäbe1,30.0,,,,,1.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/205751/marvin-schwabe,2025-09-28 21:27:14
Matthias Köbbing,Borussia Monchengladbach,Bundesliga,Matthias Köbbing44,28.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/258973/matthias-kobbing,2025-09-28 21:27:14
Ron-Robert Zieler,Borussia Monchengladbach,Bundesliga,G,36.0,,,,,0.0,,1.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/121007/ron-robert-zieler,2025-09-28 21:27:14
